dummy_lng_data (2),,,,,,,,,,,,,,,,,,
"Order Number (REQUIRED FIELD PLEASE FILL IN HERE)","Order Description (REQUIRED FIELD PLEASE FILL IN HERE)","Weight of Order (g/kg) (REQUIRED FIELD PLEASE FILL IN HERE)","Quantity (REQUIRED FIELD PLEASE FILL IN HERE)","Pickup Date (dd-MM-yyyy) (REQUIRED FIELD PLEASE FILL IN HERE)","Pickup Address Line 1 (REQUIRED FIELD PLEASE FILL IN HERE)",Pickup Address Line 2,"Pickup Postal Code (REQUIRED FIELD PLEASE FILL IN HERE)","Delivery Date (dd-MM-yyyy) (REQUIRED FIELD PLEASE FILL IN HERE)","Delivery Address Line 1 (REQUIRED FIELD PLEASE FILL IN HERE)",Delivery Address Line 2,"Delivery Postal Code (REQUIRED FIELD PLEASE FILL IN HERE)","Customer First Name (REQUIRED FIELD PLEASE FILL IN HERE)","Customer Last Name (REQUIRED FIELD PLEASE FILL IN HERE)","Customer Email (REQUIRED FIELD PLEASE FILL IN HERE)","Customer Phone Number (REQUIRED FIELD PLEASE FILL IN HERE)",Customer Company,Merchant Name,Approval Status
N12345689,3 Cartons of water,1kg,2,10/1/21,250 Raffles Place,,101111,11/01/2021,134 City Hall,,111122,Aaron 12,Lo,aaron.lo@mail.com,12345689,,Merchant 3,
N12345690,3 Cartons of water,500g,2,10/1/21,147 Raffles Place,,101111,11/01/2021,135 City Hall,,598192,Aaron 13,Lo,aaron.lo@mail.com,12345690,,Merchant 1,
N12345691,3 Cartons of water,500g,2,10/1/21,151 Raffles Place,,101111,11/01/2021,136 City Hall,,111124,Aaron 14,Lo,aaron.lo@mail.com,12345691,,Merchant 2,
N12345692,1 Carton of water,1kg,2,10/1/21,250 Raffles Place,,101111,11/01/2021,137 City Hall,,79905,Aaron 15,Lo,aaron.lo@mail.com,12345692,,Merchant 3,
N12345693,2 Carton of water,500g,2,10/1/21,147 Raffles Place,,101111,11/01/2021,138 City Hall,,111126,Aaron 16,Lo,aaron.lo@mail.com,12345693,,Merchant 1,
N12345694,1 Carton of water,500g,3,10/1/21,151 Raffles Place,,101111,11/01/2021,139 City Hall,,679043,Aaron 17,Lo,aaron.lo@mail.com,12345694,,Merchant 2,
N12345695,1 Carton of water,500g,2,10/1/21,250 Raffles Place,,101111,11/01/2021,140 City Hall,,111128,Aaron 18,Lo,aaron.lo@mail.com,12345695,,Merchant 3,
N12345696,3 Cartons of water,500g,1,10/1/21,147 Raffles Place,,101111,11/01/2021,141 City Hall,,598193,Aaron 19,Lo,aaron.lo@mail.com,12345696,,Merchant 1,
N12345697,1 Carton of water,500g,1,10/1/21,151 Raffles Place,,101111,11/01/2021,142 City Hall,,111130,Aaron 20,Lo,aaron.lo@mail.com,12345697,,Merchant 2,
N12345698,1 Carton of water,500g,2,10/1/21,250 Raffles Place,,101111,11/01/2021,143 City Hall,,111131,Aaron 21,Lo,aaron.lo@mail.com,12345698,,Merchant 3,
N12345699,3 Cartons of water,500g,2,10/1/21,147 Raffles Place,,101111,11/01/2021,144 City Hall,,79212,Aaron 22,Lo,aaron.lo@mail.com,12345699,,Merchant 1,
N12345700,1 Carton of water,1kg,2,10/1/21,151 Raffles Place,,101111,11/01/2021,145 City Hall,,111133,Aaron 23,Lo,aaron.lo@mail.com,12345700,,Merchant 2,
N12345701,1 Carton of water,500g,2,10/1/21,250 Raffles Place,,101111,11/01/2021,146 City Hall,,111134,Aaron 24,Lo,aaron.lo@mail.com,12345701,,Merchant 3,
N12345702,3 Cartons of water,500g,2,10/1/21,147 Raffles Place,,101111,11/01/2021,147 City Hall,,211052,Aaron 25,Lo,aaron.lo@mail.com,12345702,,Merchant 1,
N12345703,1 Carton of water,500g,1,10/1/21,148 Raffles Place,,101111,11/01/2021,148 City Hall,,141112,Aaron 26,Lo,aaron.lo@mail.com,12345703,,Merchant 2,
N12345704,2 Carton of water,500g,3,10/1/21,149 Raffles Place,,101111,11/01/2021,149 City Hall,,171113,Aaron 27,Lo,aaron.lo@mail.com,12345704,,Merchant 3,
N12345705,1 Carton of water,500g,1,10/1/21,150 Raffles Place,,101111,11/01/2021,150 City Hall,,201114,Aaron 28,Lo,aaron.lo@mail.com,12345705,,Merchant 1,
N12345706,1 Carton of water,500g,1,10/1/21,151 Raffles Place,,101111,11/01/2021,151 City Hall,,231115,Aaron 29,Lo,aaron.lo@mail.com,12345706,,Merchant 2,
